# Zscore cut: >= 1.65 
# Gene Prediction Observation 
ACY3 1.215521 2.021413
ANP32E 1.458478 2.307197
ANXA5 1.191865 2.077743
ANXA6 1.392802 2.09208
APOBEC3D 1.752903 1.089244
APOL6 1.402793 0.520875
ARL3 1.740845 1.044753
ARRDC5 1.191686 0.319119
BPNT1 1.481251 2.323328
C5orf56 1.766498 1.061663
CALM2 2.025058 2.85949
CAPN3 1.542505 0.709847
CCDC69 1.834785 2.646111
CD27 1.747464 2.613446
CD52 1.860912 2.978347
CR2 1.558905 2.559573
CTSH 1.940233 2.636001
DEF8 1.807391 2.764757
DNMT3B 1.496358 0.780627
DSTN 1.349482 2.088948
DUSP2 1.468268 2.356016
EML6 1.310199 2.079995
FAM177B 1.197976 0.429581
FANCI 1.242268 1.9127
FBXO6 1.181812 0.491203
FYTTD1 1.217487 2.009357
GBP5 1.449554 0.631697
GPR160 1.550921 2.239201
GPRASP1 1.147843 0.411091
HAUS8 2.801957 1.79638
HIST1H4L 1.745424 0.951909
HLA-DQA2 1.039072 1.861494
HMGN1 2.12999 2.980589
LAIR1 1.063598 0.345095
LARGE2 1.823641 0.757498
LMO2 1.584072 2.657961
LOC645177 2.096974 1.0659
LOXL2 1.192087 2.024729
LRCH3 2.475668 1.705634
LRRK2 1.58655 0.885978
METAP2 1.782374 2.452501
MOB3B 1.070629 0.374829
MYB 1.604802 0.806025
MYO7B 1.258695 0.511591
NANS 1.604028 2.540586
NRROS 1.119321 0.393106
NUGGC 1.45202 2.349467
OVGP1 1.091606 0.424983
P2RX1 1.251044 0.587241
